"","severity","aspen","distance.pre","distance.post","distance.high","elevation","ppt","tmean","tmin","tmax","ppt.2021","ppt.2022"
"9779",1,0,72.1110229492188,72.1110229492188,0,2840.06030273438,489.733001708984,2.66999983787537,-11.8392000198364,22.6891994476318,414.245574951172,352.633697509766
"9780",3,0,623.939086914062,623.939086914062,30,3155.771484375,731.523010253906,0.909999966621399,-13.7059993743896,20.5805988311768,722.501770019531,707.290283203125
"9781",4,0,193.132080078125,332.415405273438,192.093734741211,2550.19995117188,421.739990234375,5.33999967575073,-9.03619956970215,25.451099395752,414.816986083984,381.8798828125
"9782",4,0,284.429260253906,1043.07238769531,67.0820388793945,3388.36108398438,761.984008789062,0.0799999982118607,-14.4144992828369,19.2406997680664,836.643249511719,827.784851074219
"9783",2,0,1132.29858398438,1132.29858398438,0,1724.68725585938,449.333984375,8.88999938964844,-8.5472993850708,29.6971988677979,394.064300537109,324.555389404297
"9784",1,0,122.065551757812,122.065551757812,0,2307.21923828125,508.267974853516,6.56999969482422,-8.16049957275391,26.4620990753174,515.26220703125,447.313293457031
"9785",1,0,610.081970214844,764.852905273438,0,3390.62133789062,765.704956054688,-0.109999999403954,-14.4010000228882,18.8391990661621,840.832580566406,849.466491699219
"9786",4,0,183.847778320312,186.815414428711,84.8528137207031,2974.47119140625,703.908996582031,1.0699999332428,-14.5162992477417,21.3314990997314,811.904663085938,750.796875
"9787",4,1,0,680,674.166137695312,2782.54833984375,582.820007324219,3.71999979019165,-10.8212995529175,23.3415985107422,658.675170898438,580.410461425781
"9788",4,0,164.924224853516,312.410003662109,218.403289794922,2285.49584960938,481.863983154297,7.40999984741211,-7.34819984436035,26.7176990509033,492.213592529297,420.105804443359
"9789",4,0,294.108825683594,810.246887207031,182.482879638672,2896.00170898438,584.245971679688,1.77999997138977,-14.1822996139526,22.4172992706299,811.092468261719,795.9140625
"9790",1,0,997.045654296875,997.045654296875,0,1925.87976074219,472.004974365234,9.34000015258789,-6.36310005187988,28.7992992401123,425.243194580078,343.420776367188
"9791",4,0,350,350,60,2421.3125,497.451995849609,7.00999975204468,-7.41479969024658,25.9277000427246,457.842987060547,385.970489501953
"9792",4,0,733.484802246094,733.484802246094,201.246109008789,3043.25854492188,657.347961425781,1.5,-13.1680994033813,21.3228988647461,597.618957519531,576.169311523438
"9793",4,0,70,350,300,3088.48095703125,776.807983398438,0.649999976158142,-14.1812000274658,20.8036994934082,836.643249511719,827.784851074219
"9794",3,0,111.803398132324,565.685424804688,60,2695.63525390625,398.194000244141,3.87999987602234,-10.4368000030518,23.9265995025635,563.13330078125,533.375
"9795",4,0,64.0312423706055,176.918060302734,161.554946899414,3016.51245117188,703.908996582031,1.0699999332428,-14.5162992477417,21.3314990997314,811.904663085938,750.796875
"9796",4,0,22.3606796264648,127.279220581055,94.8683319091797,2621.87377929688,553.011901855469,4.92999982833862,-9.47169971466064,24.2542991638184,581.781188964844,507.327575683594
"9797",1,0,44.7213592529297,44.7213592529297,0,2678.8740234375,480.282989501953,4.1399998664856,-10.0338001251221,24.0387001037598,451.688781738281,408.616180419922
"9798",2,0,110.453605651855,110.453605651855,0,2362.90869140625,512.546997070312,6.15999984741211,-8.44040012359619,26.0525989532471,515.26220703125,447.313293457031
"9799",4,0,1311.83081054688,1311.83081054688,60,3005.09057617188,724.922973632812,0.699999988079071,-15.8715000152588,21.6464996337891,869.982849121094,775.632568359375
"9800",3,1,0,60.8276290893555,30,2760.63452148438,526.393005371094,2.45000004768372,-13.144700050354,23.0343990325928,666.644775390625,633.844787597656
"9801",1,0,357.770874023438,357.770874023438,0,3247.44970703125,832.824951171875,0.0799999982118607,-14.6742000579834,19.9454002380371,748.584106445312,737.586608886719
"9802",1,0,36.0555114746094,36.0555114746094,0,2674.94140625,426.657989501953,2.49000000953674,-13.8022994995117,23.4783000946045,451.230102539062,417.396179199219
"9803",1,0,128.062484741211,128.062484741211,0,2039.07092285156,463.379974365234,8.19999980926514,-6.87049961090088,27.7626991271973,419.923187255859,347.213989257812
"9804",2,0,383.275390625,383.275390625,0,3042.13671875,562.568969726562,1.80999994277954,-12.8111000061035,21.9233989715576,637.716064453125,614.551574707031
"9805",2,0,339.411254882812,998.098205566406,0,3047.27563476562,562.799987792969,1.83999991416931,-12.7012996673584,21.8803997039795,718.998657226562,698.881164550781
"9806",3,0,243.515914916992,260,127.27921295166,3031.68359375,640.829956054688,1.6298999786377,-12.9614992141724,21.7045993804932,722.501770019531,707.290283203125
