"","severity","aspen","seedsource.dist","distance.pre","distance.post","distance.high","elevation","ppt","ppt.111212345","ppt.678910","tmean","tmin1","tmax7","tmax.678910","ppt.2021","ppt.111212345.2021","ppt.678910.2021","tmax.678910.2021","ppt.2022","ppt.111212345.2022","ppt.678910.2022","tmax.678910.2022","bb.presence","bb.severity"
"8192",1,0,0,183.847778320312,183.847778320312,0,2635.09423828125,463.918975830078,246.807395935059,210.057998657227,4.27999973297119,0.759799957275391,24.6147003173828,19.9133596420288,411.267181396484,291.078899383545,123.560694932938,21.259659576416,370.445495605469,189.991095542908,168.279196739197,21.2878198623657,NA,NA
"8193",4,0,67.0820388793945,206.1552734375,206.1552734375,67.0820388793945,3206.73046875,999.608947753906,734.169784545898,316.217197418213,0.649999976158142,-3.90089988708496,20.0844993591309,15.546319770813,1079.11071777344,683.099380493164,281.355588912964,16.4862796783447,1065.51403808594,820.070171356201,258.191688537598,16.5003000259399,1,61
"8194",1,0,0,230.21728515625,291.204406738281,0,3412.01196289062,835.119995117188,527.594680786133,253.726192474365,0.229999989271164,-3.55320000648499,20.1054000854492,15.6049996376038,836.643249511719,506.472381591797,232.435091018677,16.7124995231628,827.784851074219,615.747383117676,210.49899482727,16.5273796081543,NA,NA
"8195",4,0,134.164077758789,110.453605651855,122.065551757812,134.164077758789,2861.2392578125,510.542999267578,296.313793182373,197.445598602295,2.67999982833862,-1.79549992084503,22.6407985687256,17.9804796218872,500.984100341797,314.812791824341,161.117794036865,19.0995391845703,468.112396240234,304.791589736938,163.16179561615,19.0584594726562,1,60
"8196",2,0,0,250.798721313477,272.946868896484,0,2586.3623046875,443.641998291016,250.248497009277,204.181095123291,5.01989984512329,1.24459993839264,25.1571998596191,20.4772796630859,452.648101806641,300.204188346863,152.721598148346,21.8792791366577,412.063201904297,215.002694129944,183.78319644928,21.7921394348145,0,53
"8197",4,0,123.693168640137,84.8528137207031,155.241744995117,123.693168640137,3322.99340820312,791.111999511719,498.911098480225,254.402996063232,0.28999999165535,-3.6275999546051,19.6075000762939,15.1515593528748,840.832580566406,497.467395782471,236.898090362549,16.3861194610596,849.466491699219,622.53369140625,227.546699523926,16.0561999320984,1,75
"8198",2,0,0,50.9901962280273,50.9901962280273,0,2641.9365234375,452.6669921875,246.807395935059,210.057998657227,4.48999977111816,0.759799957275391,24.6147003173828,19.9133596420288,411.267181396484,291.078899383545,123.560694932938,21.259659576416,370.445495605469,189.991095542908,168.279196739197,21.2878198623657,NA,NA
"8199",3,0,30,36.0555114746094,36.0555114746094,30,2571.80615234375,444.141998291016,246.807395935059,210.057998657227,5.02999973297119,0.759799957275391,24.6147003173828,19.9133596420288,411.267181396484,291.078899383545,123.560694932938,21.259659576416,370.445495605469,189.991095542908,168.279196739197,21.2878198623657,NA,NA
"8200",2,0,0,234.307495117188,237.697280883789,0,3031.76806640625,587.156982421875,316.40909576416,188.3078956604,1.13989996910095,-2.07990002632141,22.3277988433838,17.6811794281006,506.489990234375,332.583200454712,159.967796325684,18.7599395751953,480.874389648438,320.275691986084,147.019394874573,18.7773797988892,1,64
"8201",3,0,90,546.260009765625,722.495666503906,90,2584.70336914062,409.93798828125,217.850296974182,177.480697631836,4.44999980926514,1.34029996395111,25.1691989898682,20.4871793746948,397.981597900391,275.51978969574,123.479498386383,21.9873998641968,338.804595947266,177.89289188385,151.038595199585,21.9020599365234,0,48
